date,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,ad_id,ad_title,ad_valence,ad_sponsor,target_candidate,attacking_candidate,estimate_type,attack,general,pro_clinton,pro_sanders,pro_cruz,pro_kasich,pro_trump,anti_clinton,anti_trump,date_numeric,attack_d,general_d,pro_clinton_d,pro_sanders_d,pro_trump_d,pro_cruz_d,pro_kasich_d,anti_clinton_d,anti_trump_d,pac,pac_d,date_d,attack_general_d,attack_date_d,date_group
2016-03-14,ad_id_fac4,-0.016089546856377535,0.15969110654563956,0.10075418227363311,0.919766658505311,0.2972947878921101,-0.3294738816048652,959,favorDT_rev,4,Scam,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.19849418206708,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.2866235880539989,-0.3086277889495356,-0.15403091375147385,1
2016-03-14,ad_id_fac5,0.019516996158043254,0.1478858175939582,-0.1319734135130522,0.895033003366823,0.3097341508132613,-0.27070015849717477,959,favorDT_rev,5,Man of People,Anti Trump,american future fund,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.19849418206708,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.2866235880539989,-0.3086277889495356,-0.15403091375147385,1
2016-03-14,ad_id_fac6,0.00879458089248783,0.15517831300635773,-0.05667403338846396,0.9548166646038339,0.31332282570737024,-0.29573366392239464,959,favorDT_rev,6,Plain Wrong,Anti Trump,cruz,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.19849418206708,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-0.2866235880539989,-0.3086277889495356,-0.15403091375147385,1
2016-03-21,ad_id_fac8,0.22480054382693432,0.14974492720982718,-1.5012230999447274,0.13372615527646411,0.5187779892578377,-0.06917690160396905,737,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.217659137577,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.2674586325440771,-0.3086277889495356,-0.14688465915455384,2
2016-04-05,ad_id_fac8,0.3162213040366142,0.1818146772255622,-1.7392506967097325,0.08241104598875297,0.6731617085739875,-0.04071910050075911,732,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.25872689938399,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.22639087073709163,-0.3086277889495356,-0.13157125644686435,4
2016-04-25,ad_id_fac24,0.09928300959727857,0.21301262760760376,0.46608978402994233,0.6413259239091097,-0.3190856008799662,0.5176516200745233,581,favorDT_rev,24,Broken,Pro Trump,trump,TRUE,FALSE,target_candidate,0,0,0,0,0,0,1,0,0,46.313483915126625,-0.6271186440677966,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,0.943502824858757,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,-0.17163385499445383,0.1885473522934023,0.060480468824505265,7
2016-05-09,ad_id_fac26,-0.5209436030694635,0.19582100607529057,2.6603050076719943,0.008020392070433154,-0.1363484964064196,-0.9055387097325074,587,favorDT_rev,26,Unifier,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.351813826146476,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-0.1333039439746031,-0.3086277889495356,-0.09686087697610592,8
2016-05-09,ad_id_fac27,-0.2516713649333416,0.20055284987377736,1.2548880013010877,0.2100188011194573,0.14221714700253696,-0.6455598768692201,587,favorDT_rev,27,Harrassment,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.351813826146476,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-0.1333039439746031,-0.3086277889495356,-0.09686087697610592,8
2016-05-23,ad_id_fac8,0.19616787882366604,0.17525472633654887,-1.1193300341980894,0.2634533087522362,0.5403645275107516,-0.14802876986341956,592,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.390143737166326,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.09497403295475237,-0.3086277889495356,-0.08256836778226327,10
2016-05-23,ad_id_fac33,-0.016533079432458644,0.17106435379784685,0.09664830261479491,0.9230384052526505,0.31943376447434446,-0.3524999233392617,592,favorDT_rev,33,Speak,Anti Trump,priorities usa,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.390143737166326,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.09497403295475237,-0.3086277889495356,-0.08256836778226327,10
2016-06-06,ad_id_fac38,-0.2979273419839657,0.19837045985120827,1.5018735259646625,0.13367118821965368,0.09168044923678537,-0.6875351332047168,583,favorDT_rev,38,Extreme Makeover,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.42847364818618,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,-0.05664412193490165,-0.3086277889495356,-0.06827585858842063,12
2016-06-06,ad_id_fac39,-0.20417766820994832,0.17705314358998409,1.1531999041077667,0.24930091777457264,0.14356203181658272,-0.5519173682364793,583,favorDT_rev,39,Grace,Anti Trump,priorities usa,TRUE,FALSE,target_candidate,1,0,0,0,0,0,0,0,1,46.42847364818618,0.3728813559322034,-0.4971751412429379,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.05664412193490165,-0.3086277889495356,-0.06827585858842063,12
2016-06-20,ad_id_fac33,0.11962102467615042,0.09777747270112994,-1.2234006604137566,0.22132508999771527,0.31137946427348,-0.07213741492117916,1965,favorDT_rev,33,Speak,Anti Trump,priorities usa,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.46680355920602,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,-0.018314210915058027,0.06425356698266779,-0.05398334939458063,13
2016-07-04,ad_id_fac44,0.03398181409160049,0.10608400364602101,-0.3203292949330073,0.7487528807984744,0.24203118214829938,-0.17406755396509838,1959,favorDT_rev,44,Tested,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.50513347022587,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.0200157001047927,0.06425356698266779,-0.03969084020073799,14
2016-07-18,ad_id_fac47,0.025178298987238928,0.10198848893139682,-0.24687392911738562,0.8050316475823541,0.22519558009704285,-0.17483898212256502,1960,favorDT_rev,47,Role Model,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.54346338124572,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.058345611124643426,0.06425356698266779,-0.025398331006895345,15
2016-08-01,ad_id_fac50,0.19751481839884671,0.08898921706259474,-2.219536533959113,0.026563335901642764,0.37203732441017917,0.022992312387514258,1977,favorDT_rev,50,Someplace,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.58179329226557,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.09667552214449415,0.06425356698266779,-0.011105821813052703,16
2016-08-15,ad_id_fac47,0.11921531503453754,0.09857718269403037,-1.2093601356468566,0.2266697773893973,0.3125419418257719,-0.07411131175669679,1968,favorDT_rev,47,Role Model,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.620123203285424,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.13500543316434488,0.06425356698266779,0.003186687380789942,17
2016-08-15,ad_id_fac54,0.15786201801695457,0.10004233743813307,-1.577952115668805,0.1147373237809606,0.354062062536952,-0.038338026503042855,1968,favorDT_rev,54,Unfit,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.620123203285424,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.13500543316434488,0.06425356698266779,0.003186687380789942,17
2016-08-29,ad_id_fac59,-0.08384468731898065,0.12996021668675362,0.6451565675753959,0.5189758147468692,0.17118571284032763,-0.33887508747828893,986,favorDT_rev,59,Everything,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.65845311430527,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.1733353441841885,0.06425356698266779,0.01747919657462993,19
2016-09-05,ad_id_fac60,0.19796949990194154,0.1499681471290148,-1.3200769876261262,0.1871156874117088,0.49226291944623957,-0.09632391964235645,986,favorDT_rev,60,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.677618069815196,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.19250029969411742,0.06425356698266779,0.024625451171552584,20
2016-09-05,ad_id_fac99,0.15757832933463162,0.1369902436780806,-1.1502887001568656,0.250303884659495,0.4264042635614943,-0.11124760489223107,986,favorDT_rev,99,Sacrifice,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.677618069815196,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.19250029969411742,0.06425356698266779,0.024625451171552584,20
2016-09-12,ad_id_fac62,0.03766703801581262,0.12822763149762653,-0.2937513356199661,0.7690099959876209,0.28929871975074317,-0.21396464371911794,982,favorDT_rev,62,Agree,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.69678302532512,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.21166525520403923,0.06425356698266779,0.031771705768472575,21
2016-09-19,ad_id_fac74,-0.05955913777576368,0.1335585356311249,-0.4459403324116997,0.6557388508457879,-0.3216527534501853,0.20253447789865794,980,favorDT_rev,74,Movement,Pro Trump,trump,TRUE,FALSE,target_candidate,0,1,0,0,0,0,1,0,0,46.71594798083505,-0.6271186440677966,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,0.943502824858757,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,-0.4689265536723164,0,-0.2711864406779661,0.23083021071396814,-0.4385712917743943,-0.1919122503485729,22
2016-09-19,ad_id_fac75,0.07362572205808526,0.13350393327350404,-0.5514872876984924,0.5814253969599739,0.3356121867423768,-0.18836074262620628,980,favorDT_rev,75,Families,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.71594798083505,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.23083021071396814,0.06425356698266779,0.03891796036539523,22
2016-09-26,ad_id_fac63,0.038746342972378015,0.16287474166010835,-0.23789043394607487,0.8120313973544566,0.35849373744141194,-0.28100105149665594,746,favorDT_rev,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.73511293634497,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.24999516622388995,0.06425356698266779,0.04606421496231522,23
2016-10-03,ad_id_fac66,0.09407566755930982,0.16382463947341286,-0.5742461443022274,0.5659779036323014,0.41569857755332407,-0.2275472424347044,731,favorDT_rev,66,Arrogant,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.75427789185489,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.26916012173381176,0.06425356698266779,0.053210469559235224,24
2016-10-10,ad_id_fac8,-0.09733652039202871,0.12821824093435721,0.759147214021297,0.4479463089764959,0.1542761023775498,-0.34894914316160724,984,favorDT_rev,8,Quotes,Anti Trump,our principles pac,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.77344284736482,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,1,0.728813559322034,0.2883250772437407,0.06425356698266779,0.060356724156157865,25
2016-10-10,ad_id_fac63,0.1251589677988677,0.11524636589653967,-1.0860122731438395,0.2777395350598653,0.3513158716573166,-0.10099793605958116,984,favorDT_rev,63,Mirrors,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.77344284736482,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.2883250772437407,0.06425356698266779,0.060356724156157865,25
2016-10-17,ad_id_fac68,0.17304645417877978,0.13423467138220363,-1.2891338161514783,0.19775438613616095,0.43657259404049414,-0.09047968568293457,740,favorDT_rev,68,America's Bullies,Anti Trump,clinton,TRUE,FALSE,target_candidate,1,1,0,0,0,0,0,0,1,46.79260780287474,0.3728813559322034,0.5028248587570621,-0.15254237288135594,-0.07909604519774012,-0.05649717514124294,-0.05649717514124294,-0.02824858757062147,-0.15819209039548024,0.5310734463276836,0,-0.2711864406779661,0.3074900327536625,0.06425356698266779,0.06750297875307787,26
